id,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,"CUISINE DESCRIPTION",Starred
1508,41026458,"RICARDO STEAK HOUSE",MANHATTAN,2145,"2 AVENUE",10029,2122895895,Steak,FALSE
1509,41020466,"FORTY CARROTS",MANHATTAN,504,BROADWAY,10012,2127295155,CafÃƒÂ©/Coffee/Tea,FALSE
1510,40393558,"FITZGERALD'S PUB",MANHATTAN,336,"THIRD AVENUE",10010,2126796931,American,FALSE
1511,40402365,MICHAEL'S,MANHATTAN,24,"WEST   55 STREET",10019,2127670555,American,FALSE
1512,41548204,"GOLDEN CREPES",MANHATTAN,262A,"WEST   15 STREET",10011,2129290816,French,FALSE
1513,50038689,"MIMI'S HUMMUS",MANHATTAN,230,"PARK AVE",10169,2123432739,"Middle Eastern",FALSE
1514,40402407,"UNION CLUB OF CITY OF NEW YORK",MANHATTAN,101,"EAST   69 STREET",10021,2127345400,French,FALSE
1515,41633315,"5 BORO BURGER",MANHATTAN,80,"WEST   36 STREET",10018,2125642211,American,FALSE
1516,40762853,"GREAT N.Y. NOODLETOWN",MANHATTAN,28,BOWERY,10013,2123490923,Chinese,FALSE
1517,41305402,"CASA DI ISACCO",MANHATTAN,536,"9 AVENUE",10018,2125945408,Italian,FALSE
1518,41211246,"SUNBURST ESPRESSO BAR",MANHATTAN,206,"3 AVENUE",10003,2126741702,American,FALSE
1519,41445748,"GRAND CAFE (Metropolitan Hospital)",MANHATTAN,1901,"2 AVENUE",10029,2124237519,American,FALSE
1520,40388321,"COWGIRL HALL OF FAME",MANHATTAN,519,"HUDSON STREET",10014,2126331133,Tex-Mex,FALSE
1521,50015845,"ASHLEY'S FINE FOODS",MANHATTAN,514,"LEXINGTON AVE",10017,2123210019,American,FALSE
1522,50002108,"PAULANER BRAUHAUS",MANHATTAN,265-267,BOWERY,10002,2127800300,German,FALSE
1523,50018503,"VIVI BUBBLE TEA",MANHATTAN,65,"W 8TH ST",10011,2126581588,Chinese,FALSE
1524,41462643,OBAO,MANHATTAN,222,"EAST   53 STREET",10022,2123085588,Thai,FALSE
1525,41299322,"AMOR CUBANO",MANHATTAN,2018,"3 AVENUE",10029,2129961220,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
1526,50060008,"Sushi Gama",MANHATTAN,1403,"2ND AVE",10021,2128792393,Japanese,FALSE
1527,40573138,"TAVERN ON JANE",MANHATTAN,31,"8 AVENUE",10014,2126752526,American,FALSE
1528,50017851,CHOLA,MANHATTAN,232,"E 58TH ST",10016,2126884619,Indian,FALSE
1529,41705765,"SHANGHAI BROADWAY RESTAURANT",MANHATTAN,150,"WEST   36 STREET",10018,2123560081,Chinese,FALSE
1530,41473931,"WHISKEY REBEL",MANHATTAN,129,"LEXINGTON AVENUE",10016,2126863800,American,FALSE
1531,41686787,"SPICE SYMPHONY",MANHATTAN,182,"LEXINGTON AVENUE",10016,2125457742,Indian,FALSE
1532,50010032,"AL HORNO LEAN MEXICAN KITCHEN INC",MANHATTAN,417,"W 47TH ST",10036,2129771000,Mexican,FALSE
1533,41126055,"LITTLE BRANCH",MANHATTAN,20,"7 AVENUE SOUTH",10014,2129294360,American,FALSE
1534,41669112,"LA VIE EN SZECHUAN RESTAURANT",MANHATTAN,14,"EAST   33 STREET",10016,2126832779,Chinese,FALSE
1535,40971294,"IL BASTARDO",MANHATTAN,191,"7 AVENUE",10011,2126755980,Italian,FALSE
1536,40402893,"COLUMBUS CITIZENS FOUNDATION",MANHATTAN,8,"EAST   69 STREET",10021,2122499923,Italian,FALSE
1537,40512403,"CHINA CHALET",MANHATTAN,47,BROADWAY,10006,2129434380,Chinese,FALSE
1538,40400976,"IRISH PUNT",MANHATTAN,40,"EXCHANGE PLACE",10005,2124227868,Irish,FALSE
1539,50040473,"ROCCO'S STEAKHOUSE",MANHATTAN,72,"MADISON AVE",10016,2126969660,Steak,FALSE
1540,40798457,"RITZ DINER",MANHATTAN,1133,"1 AVENUE",10065,2123194993,American,FALSE
1541,50004684,"CHINA BLUE",MANHATTAN,451,"WASHINGTON ST",10013,2124310111,Chinese,FALSE
1542,41655550,"ETHOS GALLERY",MANHATTAN,905,"1 AVENUE",10022,2128884060,Greek,FALSE
1543,41708185,"HONG GARDEN CHINESE RESTAURANT",MANHATTAN,2515,"7 AVENUE",10039,2122839988,Chinese,FALSE
1544,41427945,"EL PORRON",MANHATTAN,1123,"1 AVENUE",10065,2122078349,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
1545,40994615,APPLEBEE'S,MANHATTAN,205,"WEST   50 STREET",10019,2122622400,American,FALSE
1546,40578732,STARBUCKS,MANHATTAN,296,"3 AVENUE",10010,2125989651,CafÃƒÂ©/Coffee/Tea,FALSE
1547,40984099,"HERALD SQUARE MARKET",MANHATTAN,968,"6 AVENUE",10018,2122443484,American,FALSE
1548,50018286,"THE MILL",MANHATTAN,75,"VARICK ST",10013,2123431200,"Soups & Sandwiches",FALSE
1549,41493787,"ORIENT EXPRESS",MANHATTAN,325,"WEST   11 STREET",10014,2126918845,Turkish,FALSE
1550,40382802,"PARNELL'S PUB",MANHATTAN,350,"EAST   53 STREET",10022,2127531761,Irish,FALSE
1551,50011892,"ROBUSTA  ESPRESSO BAR",MANHATTAN,50,"W 47TH ST",10036,2123020242,CafÃƒÂ©/Coffee/Tea,FALSE
1552,50005714,VIETNAAM,MANHATTAN,1700,"2ND AVE",10128,2127220558,Vietnamese/Cambodian/Malaysia,FALSE
1553,50005590,"FAMOUS SICHUAN",MANHATTAN,10,"PELL ST",10013,2122333888,Chinese,FALSE
1554,40643682,"WCOU RADIO / TILE BAR",MANHATTAN,115,"1 AVENUE",10003,2122544317,American,FALSE
1555,40364389,"OLD TOWN BAR & RESTAURANT",MANHATTAN,45,"EAST   18 STREET",10003,2125296732,American,FALSE
1556,41527114,"MERCHANTS RIVER HOUSE",MANHATTAN,375,"SOUTH END AVENUE",10280,2124321451,American,FALSE
1557,40633087,"BABBO RISTORANTE E ENOTECA",MANHATTAN,110,"WAVERLY PLACE",10011,2127770303,Italian,FALSE
1558,50035784,"BIG WONG RESTAURANT",MANHATTAN,67,"MOTT ST",10013,2129640540,Chinese,FALSE
1559,41349736,"THE GRISLY PEAR",MANHATTAN,107,"MACDOUGAL STREET",10012,2125293808,American,FALSE
1560,40382367,"SIDEWALK BAR & RESTAURANT",MANHATTAN,94,"AVENUE A",10009,2124737373,American,FALSE
1561,41004133,"PRIMO CAPPUCCINO",MANHATTAN,0,"PENN STATION",10001,2125637621,American,FALSE
1562,41633315,"5 BORO BURGER",MANHATTAN,80,"WEST   36 STREET",10018,2125642211,American,FALSE
1563,50013756,"HOMEFRONT DELI",MANHATTAN,41,"E 41ST ST",10017,2126820838,American,FALSE
1564,50009561,"HUNG YIP CHINESE RESTAURANT",MANHATTAN,7,"W 45TH ST",10036,2127191788,Chinese,FALSE
1565,40659340,"SEOUL GARDEN",MANHATTAN,34,"WEST   32 STREET",10001,2127369002,Korean,FALSE
1566,41523650,"NEW YORK YACHT CLUB",MANHATTAN,37,"WEST   44 STREET",10036,2123821000,American,FALSE
1567,41528486,"LEGEND BAR & RESTAURANT",MANHATTAN,88,"7 AVENUE",10011,2129291778,Chinese,FALSE
1568,41405148,"LUCE RESTAURANT & ENOTECA",MANHATTAN,2014,BROADWAY,10023,2127241400,Italian,FALSE
1569,41717853,"BARKING DOG RESTAURANT",MANHATTAN,1453,"YORK AVENUE",10075,2128613600,American,FALSE
1570,41426077,"GEORGIO'S PIZZERIA",MANHATTAN,20,"BEAVER STREET",10004,2123616160,Pizza,FALSE
1571,41294955,"DEAN & DELUCA",MANHATTAN,156,"WEST   56 STREET",10019,2125862970,CafÃƒÂ©/Coffee/Tea,FALSE
1572,50039214,"WALDORF-ASTORIA 2ND FL KITCHEN",MANHATTAN,301,"PARK AVE",10022,2123553000,American,FALSE
1573,41529148,"THE ORIGINAL VINCENT'S ESTABLISH 1904",MANHATTAN,119,"MOTT STREET",10013,2122268133,Italian,FALSE
1574,40482591,"MAJESTIC THEATER",MANHATTAN,245,"WEST 44 STREET",10036,2125867610,American,FALSE
1575,40395023,"JING FONG RESTAURANT",MANHATTAN,20,"ELIZABETH STREET",10013,2129645256,Chinese,FALSE
1576,41056088,BUA,MANHATTAN,126,"ST MARKS PLACE",10009,2129796276,American,FALSE
1577,41221373,"LILLI AND LOO",MANHATTAN,792,"LEXINGTON AVENUE",10065,2124217800,Asian,FALSE
1578,41470674,"ONE AND ONE",MANHATTAN,12,"1 AVENUE",10009,2125989126,Irish,FALSE
1579,50014722,SPICE,MANHATTAN,610,"AMSTERDAM AVE",10024,2127245000,Chinese,FALSE
1580,41560208,"ABAYA THAI CUISINE",MANHATTAN,318,"WEST   36 STREET",10018,2128683399,Thai,FALSE
1581,41430594,"1 STOP PATTY SHOP",MANHATTAN,1708,"AMSTERDAM AVENUE",10031,2124917466,Bakery,FALSE
1582,40958170,"SOHO HOUSE",MANHATTAN,2935,"9 AVENUE",10014,2126279800,American,FALSE
1583,41575038,BRGR,MANHATTAN,287,"7 AVENUE",10001,2124887500,American,FALSE
1584,50053623,"DAK BAKERY",MANHATTAN,90,BOWERY,10013,2126800138,Bakery,FALSE
1585,50035784,"BIG WONG RESTAURANT",MANHATTAN,67,"MOTT ST",10013,2129640540,Chinese,FALSE
1586,50005906,STARBUCKS,MANHATTAN,270,"PARK AVE",10017,2122702624,CafÃƒÂ©/Coffee/Tea,FALSE
1587,50013970,"CAFFE BENE",MANHATTAN,39,"W 32ND ST",10001,2015431827,CafÃƒÂ©/Coffee/Tea,FALSE
1588,50006110,"ARCO CAFE",MANHATTAN,886,"AMSTERDAM AVE",10025,2126650033,Italian,FALSE
1589,40374711,"ROSIE O'GRADY RESTAURANT",MANHATTAN,800,"7 AVENUE",10019,2125822975,Irish,FALSE
1590,41613769,"NEW SUNNY EAST 88 RESTAURANT",MANHATTAN,1680,"1 AVENUE",10128,2128769332,Chinese,FALSE
1591,41109543,"WALDY'S WOOD FIRED PIZZA & PENNE",MANHATTAN,800,"6 AVENUE",10001,2122135042,Pizza,FALSE
1592,41359592,"THAILAND RESTAURANT",MANHATTAN,856,"10 AVENUE",10019,2129578818,Thai,FALSE
1593,41408069,AUREOLE,MANHATTAN,135,"WEST   42 STREET",10036,2123191660,American,FALSE
1594,41054662,STARBUCKS,MANHATTAN,90,"PARK AVENUE",10016,2126615489,CafÃƒÂ©/Coffee/Tea,FALSE
1595,41310577,ASHBY'S,MANHATTAN,64,"WEST 22 STREET",10010,2122287993,American,FALSE
1596,41356747,"LINCOLN PARK BAR & GRILL",MANHATTAN,867,"9 AVENUE",10019,2129742826,American,FALSE
1597,40400559,"MULLIGAN'S PUB",MANHATTAN,267,"MADISON AVENUE",10016,2122860207,Irish,FALSE
1598,41685529,"16 HANDLES",MANHATTAN,428,"3 AVENUE",10016,2122131755,"Ice Cream, Gelato, Yogurt, Ices",FALSE
1599,50009526,"NISHIDA SHO-TEN",MANHATTAN,302,"E 49TH ST",10017,2123080791,Japanese,FALSE
1600,41706165,"HEALTHIER CHOICES",MANHATTAN,2107,"1 AVENUE",10029,2124275500,Caribbean,FALSE
1601,50002780,"HOU YI HOT POT",MANHATTAN,92,"HESTER ST",10002,2129663420,Chinese,FALSE
1602,50041843,"SUSHI SEKI",MANHATTAN,365,"W 46TH ST",10036,2122628880,Japanese,FALSE
1603,50005771,"SEXY TACO DIRTY CASH",MANHATTAN,161,"MALCOLM X BLVD",10026,2122804700,American,FALSE
1604,41478388,"18 RESTAURANT",MANHATTAN,240,"EAST   81 STREET",10028,2125172400,Jewish/Kosher,FALSE
1605,50010310,HANABI,MANHATTAN,1450,"2ND AVE",10021,2125701888,Japanese,FALSE
1606,50033497,"SARAH'S ARTISANAL KITCHEN",MANHATTAN,270,"MADISON AVE",10016,2127791050,American,FALSE
1607,41678092,"OPAI THAI",MANHATTAN,722,"AMSTERDAM AVENUE",10025,2128668989,Thai,FALSE
1608,50013774,PINGS,MANHATTAN,22,"MOTT ST",10013,2126029988,Seafood,FALSE
1609,40363945,DOMINO'S,MANHATTAN,148,"WEST   72 STREET",10023,2125010200,Pizza,FALSE
1610,41298790,"SERAFINA AT TIME HOTEL",MANHATTAN,224,"WEST 49 STREET",10019,2122471000,Italian,FALSE
1611,41649356,"DUNKIN' DONUTS, HUDSON NEWS",MANHATTAN,2,"PENNSYLVANIA PLAZA",10001,2129716042,American,FALSE
1612,41217335,PERSEPOLIS,MANHATTAN,1407,"2 AVENUE",10021,2125351100,Mediterranean,FALSE
1613,41421237,"BILLY'S BAKERY",MANHATTAN,75,"FRANKLIN STREET",10013,2126479958,Bakery,FALSE
1614,50034858,"WOOPS! BAKESHOP",MANHATTAN,1143,"2ND AVE",10065,2127584070,Bakery,FALSE
1615,50062684,"KESTE WALL STREET",MANHATTAN,77,"FULTON ST",10038,2126939030,Pizza/Italian,FALSE
1616,41603367,"FOOD KING CHINESE RESTAURANT",MANHATTAN,56,"MARKET STREET",10002,2122332433,Chinese,FALSE
1617,41471314,"TAKAHACHI BAKERY",MANHATTAN,25,"MURRAY STREET",10007,2127915550,Bakery,FALSE
1618,40855909,"TARALLUCCI E VINO",MANHATTAN,163,"1 AVENUE",10003,2123881190,Italian,FALSE
1619,50005564,"WOGIES BAR & GRILL",MANHATTAN,44,"TRINITY PL",10006,2127852838,American,FALSE
1620,40368897,"HATSUHANA RESTAURANT",MANHATTAN,17,"EAST   48 STREET",10017,2123553345,Japanese,FALSE
1621,41721738,"DAVEY'S ICE CREAM",MANHATTAN,137,"1 AVENUE",10003,2122288032,"Ice Cream, Gelato, Yogurt, Ices",FALSE
1622,41485097,"NEW WONJO RESTAURANT",MANHATTAN,23,"WEST   32 STREET",10001,2126955815,Korean,FALSE
1623,41001677,PYLOS,MANHATTAN,128,"EAST    7 STREET",10009,2124730220,Greek,FALSE
1624,50000210,"LA PICCOLA CUCINA",MANHATTAN,964,"AMSTERDAM AVE",10025,2128661336,Italian,FALSE
1625,41024190,"CROCODILE LOUNGE",MANHATTAN,325,"EAST   14 STREET",10003,2124777747,Pizza,FALSE
1626,41722945,"KUMO SUSHI",MANHATTAN,165,"WEST 72 STREET",10023,2125805900,Asian,FALSE
1627,40402398,"FRIARS NATIONAL ASSOC.",MANHATTAN,57,"EAST   55 STREET",10022,2127517272,American,FALSE
1628,41217679,"LUXOR LOUNGE",MANHATTAN,118,"MACDOUGAL STREET",10012,2124755544,American,FALSE
1629,41290213,"ZUCKER'S BAGELS AND SMOKED FISH",MANHATTAN,146,"CHAMBERS STREET",10007,2126085844,Bagels/Pretzels,FALSE
1630,41543738,"NEW DYNASTY",MANHATTAN,393,"8 AVENUE",10001,2125949734,Chinese,FALSE
1631,41488616,"LIN'S GOURMET",MANHATTAN,1097,"2 AVENUE",10022,2127525586,Chinese,FALSE
1632,41662367,"IM STAR CAFE",MANHATTAN,19,"DIVISION STREET",10002,2129668988,Chinese,FALSE
1633,41212364,BECKETT'S,MANHATTAN,81,"PEARL STREET",10004,2122691001,American,FALSE
1634,50017948,"HOUSE OF LASAGNA/LA STANZA",MANHATTAN,334,"LEXINGTON AVE",10016,2128839555,Italian,FALSE
1635,41634340,"JOE COFFEE",MANHATTAN,1045,"LEXINGTON AVENUE",10021,2129882500,CafÃƒÂ©/Coffee/Tea,FALSE
1636,50014831,"OAXACA GREENWICH",MANHATTAN,48,"GREENWICH AVE",10011,2123664488,Mexican,FALSE
1637,50043343,"NOGLU NEW YORK",MANHATTAN,1266,"MADISON AVE",10128,2127722011,French,FALSE
1638,41328457,"MARITZA CAKE",MANHATTAN,2153,"AMSTERDAM AVENUE",10032,2127955849,Bakery,FALSE
1639,50034497,"750 MYRTLE DINER",BROOKLYN,750,"MYRTLE AVE",11205,2017599585,American,FALSE
1640,40918579,"PISTICCI RESTAURANT",MANHATTAN,125,"LA SALLE STREET",10027,2129323500,Italian,FALSE
1641,41292258,"ABITINO'S PIZZA",MANHATTAN,936,"2 AVENUE",10022,2123081234,Pizza,FALSE
1642,50055303,"SCHOLASTIC PUBLICATIONS CAFE",MANHATTAN,557,BROADWAY,10012,2123436191,CafÃƒÂ©/Coffee/Tea,FALSE
1643,41528486,"LEGEND BAR & RESTAURANT",MANHATTAN,88,"7 AVENUE",10011,2129291778,Chinese,FALSE
1644,40520857,"TIRAMISU RESTAURANT",MANHATTAN,1410,"3 AVENUE",10028,2129889780,Italian,FALSE
1645,40716271,"ROSARIO'S PIZZA",MANHATTAN,173,"ORCHARD STREET",10002,2127779813,Pizza,FALSE
1646,41202797,"MARSHALL STACK",MANHATTAN,6668,"RIVINGTON STREET",10002,2122284667,American,FALSE
1647,50009338,STARBUCKS,MANHATTAN,280,"PARK AVE",10017,2126822586,CafÃƒÂ©/Coffee/Tea,FALSE
1648,41543826,"UMBERTO'S CLAM HOUSE",MANHATTAN,132,"MULBERRY STREET",10013,2124317545,Italian,FALSE
1649,41374711,"NEW TU DO RESTAURANT",MANHATTAN,102,BOWERY,10013,2129662666,Vietnamese/Cambodian/Malaysia,FALSE
1650,50049346,"CHIRPING CHICKEN",MANHATTAN,1560,"2ND AVE",10028,2125799888,Chicken,FALSE
1651,41718128,"MAY WAH FAST FOOD",MANHATTAN,190,"HESTER STREET",10013,2129256776,Chinese,FALSE
1652,50001701,"CHINA XIANG",MANHATTAN,360,"W 42ND ST",10036,2129676088,Asian,FALSE
1653,41255453,"NO MALICE PALACE",MANHATTAN,197,"EAST    3 STREET",10009,2122549184,American,FALSE
1654,41011232,DROM,MANHATTAN,85,"AVENUE A",10009,2127771157,Mediterranean,FALSE
1655,50035385,"PAPA JOHN'S",MANHATTAN,343,"GRAND ST",10002,2129797272,Pizza,FALSE
1656,40933602,"PIZZA PETE'S",MANHATTAN,528,"COLUMBUS AVENUE",10024,2127873153,Pizza,FALSE
1657,40960423,"EL MAGUEY Y LA TUNA",MANHATTAN,321,"EAST HOUSTON STREET",10002,2124733919,Mexican,FALSE
1658,40578124,"IL POSTINO",MANHATTAN,337,"EAST   49 STREET",10017,2126880033,Italian,FALSE
1659,41645425,"NEW YORK BEER COMPANY",MANHATTAN,321,"WEST   44 STREET",10036,2122452337,American,FALSE
1660,50033845,DIMES,MANHATTAN,49,"CANAL ST",10002,2129251300,American,FALSE
1661,40733386,HARU,MANHATTAN,1329,"3 AVENUE",10075,2124522230,Japanese,FALSE
1662,50018426,GOTAN,MANHATTAN,130,"FRANKLIN ST",10013,2124315200,Mediterranean,FALSE
1663,41622000,"BARRIO 47",MANHATTAN,47,"8 AVENUE",10014,2122553900,French,FALSE
1664,41696447,MCDONALD'S,MANHATTAN,354,"WEST  125 STREET",10027,2128642124,American,FALSE
1665,40367189,"BROOME STREET BAR",MANHATTAN,363,"WEST BROADWAY",10013,2129252086,American,FALSE
1666,41193088,MOJITO'S,MANHATTAN,227,"EAST  116 STREET",10029,2128288635,Mexican,FALSE
1667,41709956,"EFFYS AT THE 92Y",MANHATTAN,1395,"Lexington Ave",10128,2124155796,Mediterranean,FALSE
1668,40947919,"DOS CAMINOS SOHO",MANHATTAN,475,"WEST BROADWAY",10012,2122774300,Mexican,FALSE
1669,40383009,"CHA CHA'S BACKYARD GARDEN BAR & CAFE",MANHATTAN,113,"MULBERRY STREET",10013,2124319755,Italian,FALSE
1670,41705732,"BENTON CAFE",MANHATTAN,156,"EAST   45 STREET",10017,2129229788,Japanese,FALSE
1671,40721693,"CUCINA GOURMET",MANHATTAN,153,"EAST   53 STREET",10022,2127511999,American,FALSE
1672,41487544,NANOOSH,MANHATTAN,173,"MADISON AVENUE",10016,2124474345,Mediterranean,FALSE
1673,40845101,AZALEA,MANHATTAN,224,"WEST   51 STREET",10019,2122620105,Italian,FALSE
1674,50013019,STARBUCKS,BROOKLYN,405,"UNION AVE",11211,2126159700,CafÃƒÂ©/Coffee/Tea,FALSE
1675,41704341,"SMOKEY BURGER ORGANIC",MANHATTAN,339,"WEST   44 STREET",10036,2122455700,Hamburgers,FALSE
1676,50014417,"SHU HAN JU AUTHENTIC CHINESE CUISINE",MANHATTAN,465,"6TH AVE",10011,2124288800,Chinese,FALSE
1677,41068336,REMIX,MANHATTAN,24,"MURRAY STREET",10007,2122675252,American,FALSE
1678,40369580,"EL POTE ESPANOL",MANHATTAN,718,"2 AVENUE",10016,2128896680,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
1679,50002428,GLAZE,MANHATTAN,60,"W 56TH ST",10019,2123150300,Asian,FALSE
1680,50007470,"LE BAOBAB-GOUYGUI RESTAURANT",MANHATTAN,120,"W 116TH ST",10026,2128644700,African,FALSE
1681,41490991,"LIPS RESTAURANT",MANHATTAN,227,"EAST   56 STREET",10022,2126757710,American,FALSE
1682,50016967,"LA FIESTA RESTAURANT",MANHATTAN,3789,BROADWAY,10032,2122812886,Mexican,FALSE
1683,40960987,"MERCHANTS NY",MANHATTAN,112,"7 AVENUE",10011,2123667267,American,FALSE
1684,50001049,"COMFORT INN",MANHATTAN,548,"WEST 48TH STREET",10036,2125860400,American,FALSE
1685,50008669,"NUMERO 28 PIZZERIA",MANHATTAN,176,"2ND AVE",10003,2127771555,Pizza/Italian,FALSE
1686,41631799,PARM,MANHATTAN,248,"MULBERRY STREET",10012,2129937189,Italian,FALSE
1687,50049617,"BAKERY MOCANA",MANHATTAN,1540,"SAINT NICHOLAS AVE",10040,2127401190,Bakery,FALSE
1688,40966966,MOONSTRUCK,MANHATTAN,244,"MADISON AVENUE",10016,2128672545,American,FALSE
1689,50011222,"ABACKY POTLUCK",MANHATTAN,253,"W 26TH ST",10001,2129293809,Asian,FALSE
1690,40622601,"A-1 PIZZA SHOP",MANHATTAN,505,"GRAND STREET",10002,2125330214,Pizza,FALSE
1691,41690699,"NEW OCEAN",MANHATTAN,393,"LENOX AVENUE",10027,2122899293,Chinese,FALSE
1692,50012988,"ROAST KITCHEN",MANHATTAN,423,"MADISON AVE",10017,2127536587,Mexican,FALSE
1693,41246444,"LOCAL SHOP",MANHATTAN,144,"SULLIVAN STREET",10012,2122532601,American,FALSE
1694,50018415,"BREAD & BUTTER",MANHATTAN,14,"E 44TH ST",10017,2128830444,American,FALSE
1695,40399285,"BANGKOK GRAND PALACE",MANHATTAN,882,"FIRST AVENUE",10022,2129808834,Thai,FALSE
1696,40391979,"SUTTON CAFE RESTAURANT",MANHATTAN,1026,"FIRST AVENUE",10022,2124219184,American,FALSE
1697,50002769,"CHOZA TAQUERIA",MANHATTAN,66,"MADISON AVENUE",10016,2122130708,Mexican,FALSE
1698,41223834,"CHIPOTLE MEXICAN GRILL",MANHATTAN,350,"5 AVENUE",10118,2126950412,Mexican,FALSE
1699,41448361,"PATISSERIE DES AMBASSADES",MANHATTAN,2200,"FREDERICK DOUGLASS BOULEVARD",10026,2126660078,French,FALSE
1700,50016891,"DIRT CANDY",MANHATTAN,86,"ALLEN ST",10002,2122287732,Vegetarian,FALSE
1701,41624133,"TRIBECA TAPHOUSE",MANHATTAN,363,"GREENWICH STREET",10013,2125108939,American,FALSE
1702,41278299,"LEMON LEAVES",MANHATTAN,55,"LIBERTY STREET",10005,2124252890,Chinese/Japanese,FALSE
1703,41722785,"PROFIT CHINESE RESTAURANT",MANHATTAN,538,"2 AVENUE",10016,2126850563,Chinese,FALSE
1704,41351011,"CABRINI 181",MANHATTAN,854,"WEST  181 STREET",10033,2129232233,American,FALSE
1705,41614029,"LUKE'S LOBSTER",MANHATTAN,93,"EAST    7 STREET",10009,2123878487,Seafood,FALSE
1706,40971149,"OH TAISHO",MANHATTAN,9,"ST MARKS PLACE",10003,2126731300,Japanese,FALSE
1707,41395589,BERIMBAU,MANHATTAN,43,"CARMINE STREET",10014,2122422606,Brazilian,FALSE
1708,40825908,"POLANCO RESTAURANT BBQ",MANHATTAN,2421,"ADAM CLAYTON POWELL JR B",10030,2128621090,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
1709,50004144,"ONE STAR",MANHATTAN,147,"W 24TH ST",10011,2127770100,American,FALSE
1710,41105757,"EL BARRIO RESTAURANT",MANHATTAN,158,"EAST  116 STREET",10029,2128763548,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",FALSE
1711,50010504,"EXCELLENT DUMPLING HOUSE",MANHATTAN,111,"LAFAYETTE ST",10013,2122190212,Chinese,FALSE
1712,41168754,"KELLARI TAVERNA",MANHATTAN,19,"WEST   44 STREET",10036,2122210144,Greek,FALSE
1713,50006349,"TRATTORIA BELVERDE",MANHATTAN,165,"LEXINGTON AVE",10016,2126848805,Italian,FALSE
1714,50056245,"MING KEE KITCHEN",MANHATTAN,237,"GRAND ST STORE B",10002,2122192282,Chinese,FALSE
1715,40997888,"CHIPOTLE MEXICAN GRILL",MANHATTAN,19,"ST MARKS PLACE",10003,2125294502,Mexican,FALSE
1716,40662196,"LUCIEN RESTAURAUNT",MANHATTAN,14,"1 AVENUE",10009,2122606481,French,FALSE
1717,41477944,"RARE BAR  AND  GRILL",MANHATTAN,152,"WEST   26 STREET",10001,2128077273,American,FALSE
1718,41020311,"SHARAN DELI",MANHATTAN,314,"WEST   39 STREET",10018,2126957170,Delicatessen,FALSE
1719,41428049,"THE ARCHIVE",MANHATTAN,12,"EAST   36 STREET",10016,2122130093,American,FALSE
1720,50003887,"SHIRO OF JAPAN",MANHATTAN,0,"GRAND CENTRAL TERMINAL",10017,2129729638,Japanese,FALSE
1721,41153872,"THE MANSION",MANHATTAN,1634,"YORK AVENUE",10028,2125358888,American,FALSE
1722,50003414,"RHONG-TIAM THAI",MANHATTAN,31,"E 21ST ST",10010,2124207500,Thai,FALSE
1723,50002635,STARBUCKS,MANHATTAN,250,"W 57TH ST",10107,2125860940,CafÃƒÂ©/Coffee/Tea,FALSE
1724,50001753,"CROWN FRIED CHICKEN",MANHATTAN,3351,BROADWAY,10031,2122831957,Chicken,FALSE
1725,50045407,"GREEN FIG",MANHATTAN,570,"10TH AVE",10036,2122355190,American,FALSE
1726,40677036,"LE ZIE TRATTORIA",MANHATTAN,172,"7 AVENUE",10011,2122068686,Italian,FALSE
1727,41602277,"PIZZA STOP",MANHATTAN,531,"LENOX AVENUE",10037,2122343131,Pizza/Italian,FALSE
1728,40869524,"HARLEM BAR-B-Q/NABE HARLEM",MANHATTAN,2367,"8 AVENUE",10027,2122221922,Barbecue,FALSE
1729,50053669,"FAMOUS CALABRIA PIZZERIA",MANHATTAN,27,"SAINT JAMES PL",10038,2122330009,Pizza/Italian,FALSE
1730,50001945,"OOKI SUSHI",MANHATTAN,1575,"3 AVENUE",10128,2128283388,Japanese,FALSE
1731,40829155,"DB BISTRO MODERNE",MANHATTAN,55,"WEST   44 STREET",10036,2123912400,French,FALSE
1732,50009235,"TIANJIN DUMPLING HOUSE",QUEENS,4128,"MAIN ST",11355,2125183265,Chinese,FALSE
1733,50001315,"FRESH & CO.",MANHATTAN,127,"E. 60TH ST",10022,2126637374,"Sandwiches/Salads/Mixed Buffet",FALSE
1734,41454913,"LITTLE ITALY PIZZA",MANHATTAN,401,"7 AVENUE",10001,2126439933,Pizza,FALSE
1735,50002564,"THAI PEPPERCORN",MANHATTAN,1750,"1ST  AVE",10128,2124106900,Thai,FALSE
1736,41633762,"PRODIGY COFFEE",MANHATTAN,33,"CARMINE STREET",10014,2124144142,CafÃƒÂ©/Coffee/Tea,FALSE
1737,41712797,"MING'S DELIGHT",MANHATTAN,594,"3 AVENUE",10016,2129222888,Chinese,FALSE
1738,50008575,"SHANGHAI ASIAN CUISINE",MANHATTAN,14A,"ELIZABETH ST",10013,2129645640,Chinese,FALSE
1739,41699605,"PANCHO'S ANTOJITOS MEXICANOS",MANHATTAN,964,"AMSTERDAM AVENUE",10025,2123165400,American,FALSE
