id,name,location,description,permit_number,phone,website,type_name,city,Starred
140,"Clove Lakes Park Mobile Food Truck","Clove Lakes Park",None,R5-MT,None,None,"Mobile Food Truck","New York",FALSE
141,"JANANI FOOD SERVICE, INC.","LITERARY WALK ACROSS FROM R. BURNS STATUE",None,M10-E66-CD-C,None,None,"Food Cart","New York",FALSE
142,"Conference House Park Mobile Food Trucks","Conference House Park",None,R6-MT,None,None,"Mobile Food Truck","New York",FALSE
143,"MUHAMMAD T. ISLAM","EAST END OF OF THE GREAT LAWN, EAST 82 ST.",None,M10-E82-GL-C,None,None,"Food Cart","New York",FALSE
144,"Imagination Playground Specialty Food Cart","Imagination Playground",None,M386-CG,None,None,"Specialty Cart","New York",FALSE
145,"JANANI FOOD SERVICES, INC.","SOUTHEND OF PATH LEADING TO HECKSCHER BLDG.",None,M10-W61-HP-C,None,None,"Food Cart","New York",FALSE
146,"Mohammad Matin","NORTHEND OF HECKSCHER PLAYGROUND, WEST 63 ST.",None,M10-W63-HP-C,None,None,"Food Cart","New York",FALSE
147,"King David Taco","26 Street and 5th Avenue",None,M52-CG,None,http://kingdavidtacos.com/,"Specialty Cart","New York",FALSE
148,"PS 52 Mason Playground Mobile Food Truck","Dongan Playground",None,R87-MT,None,None,"Mobile Food Truck","New York",FALSE
149,"INDULGE BISTRO CAFE, INC.","PATH LEDING INTO PARK BETWEEN WEST 106 AND W108 STS.",None,M10-W108-C,None,None,"Food Cart","New York",FALSE
150,"Ciccarone Park Mobile Food Truck","Ciccarone Park",None,X102-MT,None,None,"Mobile Food Truck","New York",FALSE
151,"JANANI FOOD SERVICES, INC.","WEST 109 ST & MALCOLM X, INSIDE PARK (AT FORK)",None,M10-W109-C,None,None,"Food Cart","New York",FALSE
152,"T. Roosevelt Park Specialty Food Cart","West 81 Street and Central Park West",None,M53-CG,None,None,"Specialty Cart","New York",FALSE
153,"Belmont Playground Mobile Food Trucks","Belmont Playground",None,X108-MT,None,None,"Mobile Food Truck","New York",FALSE
154,"Nandita Inc.","Great Lawn, W81st  East Of Delacorte Theater","Gourmet cart offering crepes, hot dogs, ice cream, drinks and other related items.",M10-W81-GL-CG,None,None,"Food Cart","New York",FALSE
155,"Tremont Park Mobile Food Truck","Playground Entrance",None,X10-A-MT,None,None,"Mobile Food Truck","New York",FALSE
156,"Battery Park Specialty Food Cart","Battery Place and Washington Street",None,M5-CG,None,None,"Specialty Cart","New York",FALSE
157,"SHARMIN, INC.","GREAT LAWN, EAST OF WEST DRIVE AT 85 ST",None,M10-W85-GL-C,None,None,"Food Cart","New York",FALSE
158,"Soundview Park Mobile Food Trucks","Soundview Park",None,X118-4-MT,None,None,"Mobile Food Truck","New York",FALSE
159,"Coney Island Food Cart","Brighton 2nd Playground",None,B16-4-C,None,None,"Food Cart","New York",FALSE
160,"Riverside Park Specialty Food Cart","West 83rd Street and Riverside Park",None,M71-83-CG,None,None,"Specialty Cart","New York",FALSE
161,"Soundview Mobile Food Truck","Soundview Park",None,X118-MT,None,None,"Mobile Food Truck","New York",FALSE
162,"Russell Pedersen Playground Food Cart","Russell Pedersen Playground",None,B192-C,None,None,"Food Cart","New York",FALSE
163,"Florence Colucci Playground Mobile Food Truck","Colucci Playground",None,X122-MT,None,None,"Mobile Food Truck","New York",FALSE
164,"Callahan-Kelly Playground Breakfast Cart","Callahan-Kelly Playground",None,B219-BC,None,None,"Food Cart","New York",FALSE
165,"Watson Park Mobile Food Trucks","Watson Gleason Playground",None,X124-MT,None,None,"Mobile Food Truck","New York",FALSE
166,"Dyker Beach Park Food Cart","86th Street and 14th Avenue",None,B28-2-C,None,None,"Food Cart","New York",FALSE
167,"Mazzei Playground Trucks","Mazzei Playground",None,X157-MT,None,None,"Mobile Food Truck","New York",FALSE
168,"Public Place Food Cart","ELDERT LANE B/W LIBERTY & GLENMORE",None,B290-C,None,None,"Food Cart","New York",FALSE
169,"Rodmans Neck Mobile Food Truck","Rodman's Neck",None,X39-E-MT,None,None,"Mobile Food Truck","New York",FALSE
170,"Sunset Park Food Cart","Sunset Park",None,B87-C,None,None,"Food Cart","New York",FALSE
171,"Pugsley Park Mobile Food Truck","Pugsley Creek Park",None,X88-2-MT,None,None,"Mobile Food Truck","New York",FALSE
172,"Rvierside Park Specialty Food Cart","West 101 Street and Riverside Park",None,M71-W101-CG,None,None,"Specialty Cart","New York",FALSE
173,"Central Park Food Cart","East Drive and 61 Street",None,M10-61-ED-C,None,None,"Food Cart","New York",FALSE
174,"Woodlawn Memorial Mobile Food Truck","Woodlawn Playground",None,X96-MT,None,None,"Mobile Food Truck","New York",FALSE
175,"Bowling Green Park Specialty Cart","Bowling Green Park",None,M7-CG,None,None,"Specialty Cart","New York",FALSE
176,"Loeb Boathouse Restaurant","East 72nd Street & Park Drive North","At the Leob Boathouse in Central Park visitors can enjoy a meal in any season on the deck overlooking the Lake. More informal snacks are available on the outside terrace across from the bicycle rental concession, and a quick service concession as well. Catering is also available year round for special events of all kinds: breakfast conferences, fundraisers, corporate barbecues, holiday dinner dances and weddings. At The Boathouse you can rent bicycles, rowboats, or take a ride in an authentic Venetian gondola.","M10-(14)-BR,SB,R","(212) 517-2233",http://www.thecentralparkboathouse.com/,Restaurant,"New York",FALSE
177,"Central Park Food Cart","Central Park Mall Area",None,M10-62-CD-CG,None,None,"Food Cart","New York",FALSE
178,"Tavern on the Green","Central Park West & West 67th Street","The Sheepfold in Central Park, constructed in the latter half of the 19th century at the same time as the Tweed Courthouse on Chambers Street (now home to the New York City Department of Education) is one of the City's finest examples of Victorian Gothic architecture and one of the Park's most treasured landmarked buildings. Presently a restaurant named Tavern on the Green, the building is the best surviving work of the British architect and ornamentalist, Jacob Wrey Mould (1825-1886).<BR><BR>

Mould is also responsible for other Park treasures including the carvings and the Minton tile arcade at Bethesda Terrace, the pavilions at Belvedere Castle, and many of the Park's ornamental bridges, designed in collaboration with Calvert Vaux. <BR><BR>

Constructed of "the best Colobaugh brick," local granite, and blue and gray Malden stone, the decorative elements of the building's facade are still intact despite twentieth century additions. The original U-shaped building had three elements: the Sheepfold proper (now the open air terrace and glassed-in Crystal Room); the residence of the Keeper and his men; and the open Loggie and their balconies. The northern and southern extremities of the building faced "the Green," which became known, appropriately, as the Sheep Meadow. The present windows, flanked by red granite columns and decorative stone and tilework, may have once been part of the open air structure. The interior and possibly exterior flooring was originally paved with Minton encaustic tiles. Completing the compound, adjacent to the main building were barns and lofts for storage of feed for the sheep. <BR><BR>

The preliminary sketch for the building was published in the First Annual Report of the Department of Public Parks of 1871. Many construction drawings for the building are in the Municipal Archives of the City of New York. <BR><BR>

Parks Commissioner Robert Moses converted the Sheepfold (which actually housed 200 South Down sheep that grazed across the street) into a restaurant named Tavern on the Green, which opened to the public on October 20, 1934. New Yorkers quickly embraced this new eatery and it soon became an integral part of the City's social life. From the late 1930s until 1943, the restaurant was closed and the building was used as the headquarters for the Civilian Patrol Corps. The restaurant reopened in 1943 under new management and was renovated into a year-round facility. By the 1950s, the structure was showing some wear and tear and underwent a further renovation by the designer Raymond Loewy. At that time the restaurant had been expanded to serve more than 1,200 diners and the number of parking spaces was doubled. A succession of management companies operated the restaurant until well-known New York restaurateur Warner LeRoy acquired the license in 1973. The revitalized restaurant became a popular destination for tourists and New Yorkers alike.  <BR><BR>",M10(34)-R,212-877-8684,http://tavernonthegreen.com/,Restaurant,"New York",FALSE
179,"Dosa Specialty Food Cart","Washington Square and Thompson Place",None,M98-3-CG,None,None,"Specialty Cart","New York",FALSE
180,"Maria Hernandez Park Food Cart","Maria Hernandez Park",None,B16-C,None,None,"Fruit & Vegetable Cart","New York",FALSE
181,"Central Park Food Cart","Central Park Mall near Bandshell",None,M10-72-1C-C,None,None,"Food Cart","New York",FALSE
182,"Central Park Food Cart","Bethesda Fountain",None,M10-72-2C,None,None,"Food Cart","New York",FALSE
183,"Central Park Food Cart","West Drive and 86 Street",None,M10-86-WD-C,None,None,"Food Cart","New York",FALSE
184,"Laguardia Park Food Cart","Madison Street, near playground",None,M132-C,None,None,"Food Cart","New York",FALSE
185,"East River Park Food Cart","East River Park, Near Tennis Courts",None,M144-(1)-C,None,None,"Food Cart","New York",FALSE
186,"East River Park Food Cart","East River Park",None,M144-(3)-C,None,None,"Food Cart","New York",FALSE
187,"Wald Playground Food Cart","Wald Playground",None,M201-C,None,None,"Food Cart","New York",FALSE
188,"Inwood Hill Food Cart","Southern Soccer Field",None,M42-10-C,None,None,"Food Cart","New York",FALSE
189,"Inwood Hill Food Cart","Isham Street Entrance to Park",None,M42-4-C,None,None,"Food Cart","New York",FALSE
190,"John Jay Park Food Cart","John Jay Park",None,M45-C,None,None,"Food Cart","New York",FALSE
191,"Riverside Park Food Cart","West 109 Street and Riverside Park",None,M71-W109-C,None,None,"Food Cart","New York",FALSE
192,"Riverside Park Food Cart","West 148 Street Near the Playground",None,M72-W148-1-C,None,None,"Food Cart","New York",FALSE
193,"Washington Square Park Food Cart","Washington Square Park near Fountain",None,M98-F-C,None,None,"Food Cart","New York",FALSE
194,"Junction Playground Food Cart","Junction Playground",None,Q122-C,None,None,"Food Cart","New York",FALSE
195,"Columbus Square Food Cart","Columbus Square",None,Q137-C,None,None,"Food Cart","New York",FALSE
196,"Travers Park Food Cart","Travers Park",None,Q303-C,None,None,"Food Cart","New York",FALSE
197,"PS 149 Playground Food Cart","Northern Playground",None,Q363-C,None,None,"Food Cart","New York",FALSE
198,"Corona Golf Playground Food Cart","Corona Golf Playground",None,Q450-C,None,None,"Food Cart","New York",FALSE
199,"Bloomingdale Park Food Cart","Bloomingdale Park",None,R106-C,None,None,"Food Cart","New York",FALSE
200,"Tompkinsville Square Food Cart","Tomkins Square Park",None,R24-C,None,None,"Food Cart","New York",FALSE
201,"Clove Lakes Park Food Cart","Clove Lakes Park",None,R5-3-C,None,None,"Food Cart","New York",FALSE
202,"Starlight Park Food Cart","Starlight Park",None,X147-A-C,None,None,"Food Cart","New York",FALSE
203,"J Rodman Drake Park Food Cart","Joseph Rodman Drake Park",None,X15-C,None,None,"Food Cart","New York",FALSE
204,"River Park Food Cart","River Park Boston Road and 180 Street",None,X288-C,None,None,"Food Cart","New York",FALSE
205,"New Leaf Cafe","1 Margaret Corbin Drive","New Leaf is open year-round serving locally-sourced, modern American fare and hosting weddings, parties, and other private events.  Just steps from The Cloisters museum and gardens, surrounded by majestic trees, the 1930&rsquo;s cottage and outdoor patio offer a one-of-a-kind experience for locals and tourists alike.  Whether you are at New Leaf for a meal in the main dining room, an event on the garden patio, or cocktails in the tavern room, the tranquil setting is a delightful reprieve from urban living.",M29-R,None,http://www.newleafrestaurant.com/,Restaurant,"New York",FALSE
206,"Van Cortlandt Park Food Cart","Off Mansion Road",None,X92-1A-C,None,None,"Food Cart","New York",FALSE
207,"West 79th Street Boat Basin Cafe","Rotunda at the West 79 Street Marina","The Boat Basin Cafe is a casual outdoor restaurant, arranged in three sections & located in Riverside Park at the end of 79th Street on the Hudson River. There is an open air patio that overlooks the Marina and the Hudson River with breathtaking views of the sunsets over New Jersey. The covered Rotunda section in the middle of the restaurant has limestone arches overlooking the open air patio. All BBQ Grill parties are held underneath this covered area. Catering and private events are available. The last section is our circular open air area where most of our bar parties are held, weather permitting. The restaurant is open as early as late March and extends through the end of October.  This is all weather permitting. There is boat docking available for a fee.",M71-(79)-R,"(212) 496-5542",http://www.boatbasincafe.com/,Restaurant,"New York",FALSE
208,"Frank O'Connor Park Food Cart","Frank O'Connor Playground",None,Q98-C,None,None,"Food Cart","New York",FALSE
209,"Seth Low Park Mobile Food Truck","Between Bay Parkway & Avenue P",None,B100-MT,None,None,"Mobile Food Truck","New York",FALSE
210,"J.J. Byrne Memorial Park Mobile Food Truck","4th Avenue to 5th Avenue, between 3rd Street & 5th Street",None,B111-MT,None,None,"Mobile Food Truck","New York",FALSE
211,"Red Hook Recreation Center Mobile Food Truck","Bay Street between Henry & Clinton streets",None,B126-3MT,None,None,"Mobile Food Truck","New York",FALSE
212,"Colonel Markus Playground Mobile Food Truck","5th Street entrance off of Avenue and Ocean Park",None,B128-MT,None,None,"Mobile Food Truck","New York",FALSE
213,"G. Garibaldo Playground Trucks","18th Avenue and 82nd Street",None,B158-MT,None,None,"Mobile Food Truck","New York",FALSE
214,"Brooklyn Queens Expressway Mobile Food Truck","corner of Columbia Terrace & Montague Street",None,B222-MT,None,None,"Mobile Food Truck","New York",FALSE
215,"William E. Kelly Park Mobile Food Truck","Avenue S between East 14th & East 16th streets",None,B51-MT,None,None,"Mobile Food Truck","New York",FALSE
216,"Jackie Robinson Park Mobile Food Truck","Bradhurst Avenue between West 145 & West 155 streets",None,M14-MT,None,None,"Mobile Food Truck","New York",FALSE
217,"Anibal Aviles Playground Mobile Food Truck","West 107 to West 108 street and Amsterdam to Columbus Avenues","This mobile food unit is also authorized to operate at Bloomingdale/Ps145 Playground (West 104-West 105, Amsterdam-Columbus), Frederick Douglass Playground (West 101-West 102 & Amsterdam), and Happy Warrior Playground (West 97-West 98 & Amsterdam)",M200-200A/200/229-MT,None,None,"Mobile Food Truck","New York",FALSE
218,"Highbridge Park Mobile Food Truck","Amsterdam Avenue and West 173 Street",None,M37-3MT,None,None,"Mobile Food Truck","New York",FALSE
219,"Highbridge Park Mobile Food Truck","Amsterdam Avenue & West 177 Street",None,M37-7MT,None,None,"Mobile Food Truck","New York",FALSE
220,"Highbridge Park Mobile Food Truck","Amsterdam Avenue and West 180 Street",None,M37-8MT,None,None,"Mobile Food Truck","New York",FALSE
221,"Inwood Hill Park Mobile Food Truck","Seaman Avenue & West 204 Street to West 214st Street & Indian Road",None,M42/M43-MT,None,None,"Mobile Food Truck","New York",FALSE
222,"Kissena Corridor Park Mobile Food Truck","Utopia Parkway near Lie & Underhill roads",None,Q300-MT,None,None,"Mobile Food Truck","New York",FALSE
223,"Thomas J. Travers Playground Mobile Food Truck","34th Avenue between 77 & 78 streets",None,Q303-MT,None,None,"Mobile Food Truck","New York",FALSE
224,"Vleigh Place Playground Mobile Food Truck","Vleigh Place & 141 Street",None,Q336-MT,None,None,"Mobile Food Truck","New York",FALSE
225,"Frederick Cabbell Park Mobile Food Truck","236th Stret & 121st Avenue",None,Q339-MT,None,None,"Mobile Food Truck","New York",FALSE
226,"PS 127 Elmhurst Playground Mobile Food Truck","27th Avenue",None,Q373-MT,None,None,"Mobile Food Truck","New York",FALSE
227,"Astoria Park Mobile Food Truck","Shore Blvd., Hoyt Ave. and Ditmars Blvd",None,Q4-1-MT,None,None,"Mobile Food Truck","New York",FALSE
228,"Flushing Meadows Corona Park Mobile Food Truck","Near Unisphere, along the pathway",None,Q99-1-MT,None,None,"Mobile Food Truck","New York",FALSE
229,"Flushing Meadows Corona Park Mobile Food Truck","Near the Hall of Science",None,Q99-HS-MT,None,None,"Mobile Food Truck","New York",FALSE
230,"Flushing Meadows Corona Park Mobile Food Truck","Near South Bridge By Queens Zoo",None,Q99-ZMT,None,None,"Mobile Food Truck","New York",FALSE
231,"Bloomingdale Park Mobile Food Truck","Richmond Parkway, Bloomingdale Road, and Lenevar Avenue",None,R106-MT,None,None,"Mobile Food Truck","New York",FALSE
232,"Sound View Park Mobile Food Truck","Southwest corner of Metcalf and Lafayette avenues",None,X118-2MT,None,None,"Mobile Food Truck","New York",FALSE
233,"Sound View Park Mobile Food Truck","Lafayette Ave., btwn. Boynton Ave. and Colgate Ave.",None,X118-(4)MT,None,None,"Mobile Food Truck","New York",FALSE
234,"Devoe Park Mobile Food Truck","West Fordham Road & University Avenue",None,X13-MT,None,None,"Mobile Food Truck","New York",FALSE
235,"Vinmont Veteran Park Mobile Food Truck","254th Street to 256th Street & Mosholu Avenue to Riverdale",None,X152-MT,None,None,"Mobile Food Truck","New York",FALSE
236,"P.S. 106 Playground Mobile Food Truck","St. Raymond Avenue between O'dell & Purdy streets",None,X160-MT,None,None,"Mobile Food Truck","New York",FALSE
237,"Haffen Park Mobile Food Truck","Burk, Ely & Gunter Avenues",None,X196-MT,None,None,"Mobile Food Truck","New York",FALSE
